iter,alpha_M1f,beta_M1f,LL_M1f,LL_M3_sim,LR_sim,best_init_idx,n_total_sim,ll_init_0,ll_init_1,ll_init_2,ll_init_3,ll_init_4,ll_init_anchor
55,0.001119596118,0.2600683302,-731373.347401,-731377.242152,7.789501,0,123406,-731373.347401,-731373.970241,-731374.572321,-731373.769837,-731374.674723,-731377.242152
56,0,0.01,-722750.742909,-722750.742909,0.000000,-1,121738,-722750.752183,-722752.426544,-722753.038329,-722752.264753,-722753.166518,-722750.742909
57,0,0.01,-727191.929706,-727191.929706,-0.000000,-1,122577,-727191.977357,-727193.558603,-727194.238276,-727193.367778,-727194.403130,-727191.929706
58,0.0001000521789,0.01036258842,-727262.159132,-727262.167259,0.016254,0,122545,-727262.159132,-727263.032201,-727263.873525,-727262.698135,-727264.039286,-727262.167259
59,0,0.01,-729843.800304,-729843.800304,0.000000,-1,123170,-729843.877899,-729845.884002,-729846.701562,-729845.673553,-729846.880861,-729843.800304
60,0.002857413598,0.07064477946,-727126.142055,-727126.334581,0.385053,3,122555,-727126.317217,-727126.330015,-727126.929346,-727126.142055,-727127.049188,-727126.334581
61,0.0001008303178,0.01077182099,-727677.959682,-727678.010701,0.102037,0,122647,-727677.959682,-727679.512758,-727820.064094,-727679.376443,-727680.136703,-727678.010701
62,0.003475167727,0.06889624789,-728514.880345,-728516.526825,3.292959,3,122869,-728515.711210,-728514.958915,-728515.307036,-728514.880345,-728515.392647,-728516.526825
63,0.0001010101876,0.01281802232,-723086.314147,-723086.336220,0.044146,0,121734,-723086.314147,-723087.846706,-723088.324364,-723087.753638,-723088.432965,-723086.336220
64,0.0001007943436,0.01078133587,-727352.241071,-727352.290392,0.098641,0,122565,-727352.241071,-727353.493525,-727353.947987,-727353.381638,-727354.049431,-727352.290391
65,0.0003440592305,0.1356542604,-726998.839301,-726999.390985,1.103367,0,122541,-726998.839301,-726999.148453,-726999.630659,-726999.006845,-726999.734910,-726999.390985
